created_at,entry_id,field1,field2,field3,field4,field5
2017-01-09 21:15:52 UTC,1,23,27,83,22,31
2017-01-09 21:16:47 UTC,2,23,27,87,21,31
2017-01-09 21:20:32 UTC,3,12,43,84,8,64
2017-01-09 21:21:24 UTC,4,12,46,77,10,58
2017-01-09 21:22:18 UTC,5,13,45,78,12,50
2017-01-09 21:24:11 UTC,6,14,42,80,16,41
2017-01-09 21:25:03 UTC,7,15,41,80,18,37
2017-01-09 21:25:57 UTC,8,16,40,81,18,36
2017-01-09 21:26:50 UTC,9,16,39,81,19,35
2017-01-09 21:27:42 UTC,10,17,38,82,19,34
2017-01-09 21:28:35 UTC,11,17,37,82,20,33
2017-01-09 21:29:29 UTC,12,18,37,82,20,33
2017-01-09 21:30:22 UTC,13,18,36,83,21,33
2017-01-09 21:31:16 UTC,14,18,36,83,21,33
2017-01-09 21:32:09 UTC,15,19,36,84,21,33
2017-01-09 21:33:03 UTC,16,19,35,83,20,33
2017-01-09 21:33:56 UTC,17,19,34,84,20,33
2017-01-09 21:34:52 UTC,18,19,34,84,20,33
2017-01-09 21:35:44 UTC,19,20,34,85,20,33
2017-01-09 21:36:37 UTC,20,20,33,85,20,33
2017-01-09 21:37:30 UTC,21,20,33,85,25,28
2017-01-09 21:38:22 UTC,22,35,23,87,35,17
2017-01-09 21:39:15 UTC,23,35,13,91,30,20
2017-01-09 21:40:08 UTC,24,31,16,90,25,25
2017-01-09 21:41:01 UTC,25,28,19,90,23,28
2017-01-09 21:41:54 UTC,26,27,21,90,22,30
2017-01-09 21:42:49 UTC,27,26,22,90,22,31
2017-01-09 21:43:42 UTC,28,26,23,89,21,32
2017-01-09 21:44:35 UTC,29,25,24,90,21,32
2017-01-09 21:45:29 UTC,30,25,25,89,21,32
2017-01-09 21:46:22 UTC,31,24,25,89,21,32
2017-01-09 21:47:16 UTC,32,24,26,89,21,32
2017-01-09 21:48:10 UTC,33,24,26,89,21,33
2017-01-09 21:49:03 UTC,34,24,26,90,22,32
2017-01-09 21:49:56 UTC,35,23,27,89,22,32
2017-01-09 21:50:48 UTC,36,23,27,88,22,32
2017-01-09 21:51:41 UTC,37,23,27,88,22,31
2017-01-09 21:52:34 UTC,38,23,27,88,21,32
2017-01-09 21:53:26 UTC,39,23,27,88,21,31
2017-01-09 21:54:19 UTC,40,23,28,88,21,32
2017-01-09 21:55:11 UTC,41,23,28,88,22,31
